objid,ra,dec,u,g,r,i,z
1237648721252188491,229.01960272,-0.11264403,21.598198,20.531403,20.222839,20.051634,20.069456
1237648721252188499,229.02524605,-0.11045904,21.930822,20.665705,20.324202,20.21475,20.386564
1237648721252188433,229.02378947,-0.11592844,18.918278,17.632555,17.318819,17.185902,17.148285
1237648721252188437,229.02710732,-0.1084939,19.460979,18.097309,17.541946,17.302507,17.222782
1237648721252188439,229.02003065,-0.10767374,19.878304,18.409721,17.76618,17.493345,17.374516
1237648721252188463,229.02468226,-0.11474607,21.359039,20.462666,19.994577,19.828167,19.9009
1237648721252188430,229.02718719,-0.11693359,18.94379,16.923363,16.120361,15.781404,15.597344
1237648721252188455,229.02137826,-0.11738937,24.351246,21.389336,19.935429,19.241917,18.903635
1237648721252188489,229.02883394,-0.10639858,21.724752,20.57279,20.222589,20.12528,20.282026
1237648721252188500,229.01511272,-0.11287896,21.570656,20.54907,20.181164,20.009802,20.281612
1237648721252188507,229.01355989,-0.10862239,22.106592,20.816614,20.498285,20.370419,20.432571
1237648721252188514,229.02609936,-0.10706383,17.045553,15.831162,15.382699,15.238326,15.182604
1237648721252190097,229.01696079,-0.10475028,22.499992,21.415211,21.124189,21.022955,21.042799
1237648721252188434,229.01316625,-0.12124489,21.952679,19.463888,18.03665,17.035244,16.478216
1237648721252188438,229.01505071,-0.12137861,19.831999,18.264994,17.606411,17.346006,17.197863
1237648721252188447,229.01414449,-0.10369743,25.038017,21.512875,19.98369,18.795134,18.171637
1237648721252188449,229.02353497,-0.10130461,20.636406,19.504831,19.34234,19.322718,19.258715
1237648721252188450,229.01242239,-0.11010252,21.292137,19.944759,19.347511,19.134615,19.101282
1237648721252188454,229.02012717,-0.12283977,21.35166,19.950083,19.419432,19.204786,19.096363
1237648721252188460,229.02286968,-0.10240716,21.571783,20.46353,19.93696,19.753868,19.89039
1237648721252188476,229.02504132,-0.12219304,21.416084,20.358423,19.976402,19.842457,19.833523
1237648721252188485,229.01102476,-0.11853177,21.69717,20.539598,20.148947,19.982037,19.925125
1237648721252188486,229.03104742,-0.1054005,21.800774,20.605648,20.181351,20.132362,19.943953
1237648721252189288,229.02629636,-0.09967553,24.440481,22.999813,22.931013,22.167997,23.182945
1237648721252190964,229.03221152,-0.11333174,23.165743,22.289646,21.67914,21.58564,22.235006
1237648721252190982,229.03488692,-0.1129745,23.652142,22.785969,22.396164,23.439743,21.891804
1237648721252190983,229.03398743,-0.11253397,24.02273,22.887913,22.701483,22.240654,22.003494
1237648721252188428,229.00463855,-0.10730771,15.493551,13.979594,13.376847,13.164068,13.090488
1237648721252188446,229.00761168,-0.1021651,23.402811,20.854933,19.397358,18.595198,18.166008
1237648721252188448,229.03760616,-0.10853651,20.904816,19.606756,19.040289,18.826769,18.711721
1237648721252188457,229.00900975,-0.10852654,23.070326,20.20134,19.851219,19.588257,19.343578
1237648721252188459,229.00851586,-0.11700183,21.38212,20.175005,19.851803,19.725319,19.753477
